개업율,폐업율,개인점포_증감율,프랜차이즈_증감율,Index,Under40SalesRate,자치구,RentalRate,Gen
0.4,0.3333333333333333,0.08271298593879227,-0.04897211222512433,1,0.971864504251439,종로구,-0.05985634477254589,1
1.6,-0.1111111111111111,0.09799147900182593,-0.058018092955010446,2,6.700350701624499,종로구,0.1265377855887522,1
0.4,0.7777777777777778,0.09613541999361212,-0.056919170832745974,3,2.1442368162042187,종로구,-0.08323494687131051,1
0.16666666666666666,2.0,0.08336743044189855,-0.04926662756718938,4,-0.4360837494703644,종로구,0.48105263157894734,1
1.1666666666666667,1.0,0.09865515857085524,-0.05830102870064707,5,7.508615585026844,종로구,1.6055555555555556,1
0.16666666666666666,3.0,0.09679797767010745,-0.05720351328872856,6,-0.703355126661975,종로구,-0.6139731827805223,1
-0.4166666666666667,1.4,0.04793412033511042,-0.031465634590634645,7,5.9593930662531855,종로구,-0.76,1
0.08333333333333333,0.6,0.06272183822155812,-0.04117281027658387,8,0.48575676584179056,종로구,-0.6535764375876578,1
-0.4166666666666667,2.2,0.06092539947064011,-0.039993564993565045,9,-0.2635291771710332,종로구,-0.016320474777448073,1
-0.2222222222222222,0.5,0.04326923076923079,-0.028812920950017737,10,-0.7488401018482392,종로구,5.4471544715447155,1
0.4444444444444444,0.0,0.05799112097669271,-0.038616207286322896,11,-0.6814970025560415,종로구,0.17779705117085862,1
-0.2222222222222222,1.0,0.056202679091438563,-0.03742528630743259,12,-0.5432541138722987,종로구,-0.6134598792062123,1
-0.6,-0.2,0.06190766020346041,-0.033270888699769574,13,-0.2548069617979662,종로구,-0.28596187175043325,1
-0.5,-0.5,0.08490566037735843,-0.045630650021523916,14,0.4985217846159394,종로구,0.18677685950413223,1
-0.4,-0.4,0.09679503747738427,-0.052020330085420716,15,0.5313299925304553,종로구,0.7452229299363057,1
0.0,0.6,0.056777671506825465,-0.030968636750033536,16,-0.33987690460944253,종로구,-0.5035161744022504,1
0.25,0.0,0.07966457023060802,-0.04345199568500543,17,6.221043192684254,종로구,0.579295154185022,1
0.5,0.2,0.09149651072628592,-0.04990557254954119,18,0.6965728934100858,종로구,0.0011363636363636363,1
-0.3333333333333333,0.6,0.06190766020346041,-0.033270888699769574,19,1.431676874234874,종로구,-0.37866666666666665,1
-0.16666666666666666,0.0,0.08490566037735843,-0.045630650021523916,20,-0.2791150390147787,종로구,-0.21678321678321677,1
0.0,0.2,0.09679503747738427,-0.052020330085420716,21,-0.7109255893190864,종로구,-0.6651904340124003,1
-0.7142857142857143,0.6,0.04871626069782753,-0.027203382042091665,22,-0.035557010161418816,종로구,-0.3663594470046083,1
-0.6428571428571429,0.0,0.07142857142857154,-0.039886039886039885,23,1.4702076784006626,종로구,0.1550561797752809,1
-0.5714285714285714,0.2,0.08317025440313122,-0.04644264918237521,24,0.25054535174934994,종로구,0.0873015873015873,1
0.75,0.42857142857142855,0.29115221942154046,-0.09441647138450926,25,1.2632652851162822,종로구,-0.6899827288428325,1
0.75,1.0,0.3042961004626569,-0.09867884269895627,26,-0.05551155253061008,종로구,-0.4013761467889908,1
1.75,0.5714285714285714,0.32129585100336633,-0.10419161695724494,27,4.433090261674459,종로구,-0.23057953144266338,1
-0.5333333333333333,0.42857142857142855,0.2833721738419396,-0.09343827417304366,28,0.301791508674666,종로구,-0.2742155525238745,1
-0.5333333333333333,1.0,0.2964368543116172,-0.0977461819649705,29,-0.2818629160902834,종로구,-0.41037204058624577,1
-0.26666666666666666,0.5714285714285714,0.3133341701184051,-0.10331785121441421,30,0.08624778416355182,종로구,-0.10509031198686371,1
-0.46153846153846156,2.3333333333333335,0.24904942965779467,-0.08855090832277149,31,-0.6673741377855422,종로구,-0.37889688249400477,1
-0.46153846153846156,3.6666666666666665,0.261764705882353,-0.09307189542483663,32,0.14100995328968893,종로구,-0.12689804772234273,1
-0.15384615384615385,2.6666666666666665,0.2782101167315175,-0.09891915261565068,33,-0.6452004916134039,종로구,-0.5233555767397522,1
-0.36363636363636365,0.6666666666666666,0.2517706702452844,-0.08897493387336752,34,0.26499974954545114,종로구,-0.2031496062992126,1
-0.36363636363636365,1.3333333333333333,0.26451364859669363,-0.09347826086956523,35,-0.26717924889767847,종로구,-0.3494897959183674,1
0.0,0.8333333333333334,0.2809948882276646,-0.09930267721197766,36,-0.8899468281204966,종로구,-0.0631911532385466,1
0.7777777777777778,0.5714285714285714,0.2243256826939186,-0.08958022923502801,37,6.585996946031399,종로구,-0.09715994020926756,1
0.3333333333333333,0.8571428571428571,0.22062904717853832,-0.08810404758302372,38,-0.8003867119869112,종로구,0.781437125748503,1
0.5555555555555556,1.7142857142857142,0.24756293973044005,-0.0988595894363523,39,-0.22025956065031924,종로구,0.8512658227848101,1
0.06666666666666667,0.5714285714285714,0.19622047244094484,-0.08377971582807943,40,0.5798659848617851,종로구,0.3611111111111111,1
-0.2,0.8571428571428571,0.1926086956521738,-0.08223760541914261,41,0.4556141512898882,종로구,0.5523809523809524,1
-0.06666666666666667,1.7142857142857142,0.2189243027888447,-0.09347350787278279,42,-0.5611200130247321,종로구,-0.296137339055794,1
0.6,0.2222222222222222,0.20188976377952753,-0.0850276970095719,43,0.142431467995752,종로구,0.2084942084942085,1
0.2,0.4444444444444444,0.1982608695652173,-0.08349935544357201,44,1.1084857871528273,종로구,-0.4266409266409266,1
0.4,1.1111111111111112,0.22470119521912357,-0.0946349373395904,45,0.0762130745890786,종로구,-0.6032745591939547,1
